Time (ms),Name,Value
4,"elevator height","-1359.0"
104255,"elevator height","-1359.0"
142131,"PID output","-0.29317253828048706"
142132,"elevator height","-54.0"
142231,"PID output","-0.2633533179759979"
142231,"elevator height","-118.0"
142333,"elevator height","-171.0"
142432,"elevator height","-223.0"
142532,"elevator height","-273.0"
142633,"elevator height","-321.0"
142731,"elevator height","-368.0"
142833,"elevator height","-415.0"
142933,"elevator height","-467.0"
143034,"elevator height","-520.0"
143134,"elevator height","-574.0"
143234,"elevator height","-627.0"
143336,"elevator height","-676.0"
143436,"elevator height","-724.0"
143535,"elevator height","-771.0"
143636,"elevator height","-822.0"
143736,"elevator height","-874.0"
143836,"elevator height","-927.0"
143936,"elevator height","-979.0"
144037,"elevator height","-1009.0"
144137,"elevator height","-1046.0"
166105,"PID output","-0.34095069766044617"
166105,"elevator height","-30.0"
166206,"PID output","-0.30715128779411316"
166206,"elevator height","-110.0"
166305,"elevator height","-180.0"
166406,"elevator height","-249.0"
166506,"elevator height","-315.0"
166607,"elevator height","-379.0"
166707,"elevator height","-443.0"
166807,"elevator height","-510.0"
166908,"elevator height","-593.0"
167009,"elevator height","-663.0"
167107,"elevator height","-728.0"
167208,"elevator height","-793.0"
167308,"elevator height","-861.0"
167408,"elevator height","-919.0"
167510,"elevator height","-986.0"
167610,"elevator height","-1040.0"
710877,"elevator height","-1040.0"
710878,"PID output","-0.30715128779411316"
795438,"elevator height","-1040.0"
795440,"PID output","-0.30715128779411316"
801263,"PID output","-0.3752540051937103"
801264,"elevator height","-14.0"
801364,"is terminated","true"
801364,"PID output","-0.3374974727630615"
801365,"elevator height","-74.0"
801464,"elevator height","-75.0"
1089067,"elevator height","-75.0"
1089068,"is terminated","true"
1089068,"PID output","-0.3374974727630615"
1150094,"PID output","-1.0"
1150094,"elevator height","110.0"
1150194,"is terminated","true"
1150194,"elevator height","331.0"
1150297,"elevator height","349.0"
1176129,"elevator height","348.0"
1176230,"elevator height","347.0"
1176330,"elevator height","346.0"
1176430,"elevator height","341.0"
1176531,"elevator height","330.0"
1176631,"elevator height","319.0"
1176731,"elevator height","309.0"
1176832,"elevator height","293.0"
1176932,"elevator height","274.0"
1177032,"elevator height","260.0"
1177132,"elevator height","257.0"
1177333,"elevator height","258.0"
1177833,"elevator height","259.0"
1177934,"elevator height","260.0"
1261155,"elevator height","260.0"
1261156,"is terminated","true"
1261156,"PID output","-1.0"
1281697,"elevator height","22.5"
1281797,"elevator height","193.5"
1281897,"elevator height","502.5"
1281997,"elevator height","842.5"
1282098,"elevator height","1180.5"
1282197,"elevator height","1517.5"
1282298,"elevator height","1653.5"
1536065,"elevator height","1653.5"
1536065,"is terminated","true"
1536065,"PID output","-1.0"
1778800,"elevator height","1653.5"
1778801,"is terminated","true"
1778801,"PID output","-1.0"
1781005,"error","1908.0"
1781005,"elevator height","5.0"
1781105,"error","1894.0"
1781105,"elevator height","-6.0"
1793220,"error","1895.0"
1793221,"elevator height","-5.0"
1793420,"error","1896.0"
1793420,"elevator height","-4.0"
1793520,"error","1898.0"
1793520,"elevator height","-2.0"
1793620,"error","1900.0"
1793620,"elevator height","0.0"
1793720,"error","1904.0"
1793720,"elevator height","4.0"
1793820,"error","1909.0"
1793820,"elevator height","9.0"
1793920,"error","1915.0"
1793920,"elevator height","15.0"
1794023,"error","1924.0"
1794023,"elevator height","24.0"
1794123,"error","1936.0"
1794123,"elevator height","36.0"
1794224,"error","1951.0"
1794224,"elevator height","51.0"
1794324,"error","1967.0"
1794324,"elevator height","67.0"
1794424,"error","1984.0"
1794424,"elevator height","84.0"
1794524,"error","2002.0"
1794525,"elevator height","102.0"
1794625,"error","2020.0"
1794625,"elevator height","120.0"
1794724,"error","2035.0"
1794724,"elevator height","135.0"
1794828,"error","2050.0"
1794828,"elevator height","150.0"
1794925,"error","2063.0"
1794926,"elevator height","163.0"
1795026,"error","2078.0"
1795026,"elevator height","178.0"
1795126,"error","2094.0"
1795126,"elevator height","194.0"
1795226,"error","2108.0"
1795226,"elevator height","208.0"
1795326,"error","2126.0"
1795327,"elevator height","226.0"
1795427,"error","2143.0"
1795427,"elevator height","244.0"
1795528,"error","2159.0"
1795528,"elevator height","259.0"
1795628,"error","2175.0"
1795628,"elevator height","275.0"
1795728,"error","2192.0"
1795729,"elevator height","292.0"
1795830,"error","2214.0"
1795830,"elevator height","314.0"
1795929,"error","2237.0"
1795929,"elevator height","338.0"
1796029,"error","2259.0"
1796029,"elevator height","359.0"
1796130,"error","2276.0"
1796130,"elevator height","376.0"
1796229,"error","2279.0"
1796230,"elevator height","379.0"
1803737,"error","2281.0"
1803737,"elevator height","381.0"
1803840,"error","2291.0"
1803840,"elevator height","391.0"
1803940,"error","2313.0"
1803941,"elevator height","413.0"
1804041,"error","2342.0"
1804041,"elevator height","442.0"
1804140,"error","2369.0"
1804141,"elevator height","469.0"
1804240,"error","2396.0"
1804240,"elevator height","496.0"
1804341,"error","2422.0"
1804341,"elevator height","522.0"
1804440,"error","2448.0"
1804441,"elevator height","548.0"
1804542,"error","2471.0"
1804542,"elevator height","571.0"
1804643,"error","2496.0"
1804643,"elevator height","596.0"
1804743,"error","2519.0"
1804743,"elevator height","619.0"
1804841,"error","2541.0"
1804842,"elevator height","641.0"
1804945,"error","2562.0"
1804945,"elevator height","662.0"
1805046,"error","2584.0"
1805046,"elevator height","684.0"
1805145,"error","2610.0"
1805145,"elevator height","710.0"
1805245,"error","2637.0"
1805245,"elevator height","737.0"
1805345,"error","2663.0"
1805345,"elevator height","763.0"
1805445,"error","2674.0"
1805446,"elevator height","774.0"
1812977,"error","2672.0"
1812977,"elevator height","772.0"
1813177,"error","2671.0"
1813178,"elevator height","771.0"
1813280,"error","2668.0"
1813280,"elevator height","768.0"
1813380,"error","2664.0"
1813381,"elevator height","764.0"
1813481,"error","2659.0"
1813481,"elevator height","759.0"
1813580,"error","2649.0"
1813580,"elevator height","749.0"
1813680,"error","2629.0"
1813680,"elevator height","729.0"
1813780,"error","2615.0"
1813780,"elevator height","715.0"
1813880,"error","2602.0"
1813880,"elevator height","702.0"
1813984,"error","2587.0"
1813984,"elevator height","687.0"
1814081,"error","2568.0"
1814081,"elevator height","668.0"
1814183,"error","2548.0"
1814184,"elevator height","648.0"
1814283,"error","2523.0"
1814283,"elevator height","623.0"
1814384,"error","2500.0"
1814384,"elevator height","600.0"
1814484,"error","2474.0"
1814484,"elevator height","574.0"
1814585,"error","2444.0"
1814585,"elevator height","544.0"
1814685,"error","2412.0"
1814685,"elevator height","512.0"
1814785,"error","2381.0"
1814785,"elevator height","481.0"
1814886,"error","2353.0"
1814886,"elevator height","453.0"
1814988,"error","2326.0"
1814988,"elevator height","426.0"
1815087,"error","2299.0"
